SN Tag	Frequency	Word
1	  r   46471	    में
2	  v   22405	    है
3	      18164	    हैं
4	      13729	    नहीं
5	      8188      लिए
6	      6356	    गया
7	  c   5781	    तथा
8	  p   4745	    अपने
9	  a   4399	    कुछ
10	v   4203    	होता
11	v   3970    	था
12	v   3730    	दिया
13	v   3535	    हुए
14	n   3394	    कोई
15	n   3337    	रूप
16	a   3307	    से
17	p   3249	    मैं
18	v   3204	    रहा
19	v   3092    	हुआ
20  n	  2870    	बात
21  v	  2826	    कहा
22  n  	2758	    समय
23  p	  2711	    अपनी
24	v   2659	    होती
25	n   2583	    प्रकार
26	j   2539	    बहुत
27	n   2471	    तरह
28	a   2461    	बाद
29	a   2416	    फिर
30  v	  2369	    रहे
31	a   2337	    द्वारा
32	v   2292	    रही
33	v   2289	    होने
34  c	  2222	    एवं
35	v   2213	    हुई
36  v	  2147	    थे
37  p	  2089	    उनके
38  v  	2042	    थी
39	v   1968	    चाहिए
40  n  	1966	    दिन
41	c   1923	    लेकिन
42  n  	1865	    काम
43  v	  1854	    हूँ
44  v	  1825	    होते
45  p	  1789	    इसके
46  p	  1778	    उन्हें
47  v  	1737	    गये
48	a   1728	    कभी
49	n   1717	    लोग
50	n   1689	    बार
51	a   1665	    यहाँ
52	m   1606	    दोनों
53  p  	1555	    उन्होंने
54	n   1499	    कार्य
55	a   1457	    पास
56	a   1449	    वहाँ
57  v	  1415    	लिया
58  v	  1406	    प्राप्त
59  p	  1406	    उनकी
60  n	  1365    	लोगों
61	v   1359	    गयी
62  v   1356	    लगा
63	j   1351	    अन्य
64	v   1349	    होगा
65	j   1347	    इसी
66  n  	1346	    देश
67	s   1335	    यदि
68	j   1330	    सभी
69  n	  1330	    नाम
70  n 	1315    	वर्ष
71	a   1224	    ऐसा
72  n  	1221	    विकास
73	p   1191	    अपना
74	a   1183	    ऐसे
75	m   1182	    दूसरे
76  n  	1162	    हाथ
77  n  	1162	    भाषा
78  p	  1118	    मेरे
79  p	  1115	    मैंने
80  p	  1103	    तुम
81	n   1080	    बीच
82  j  	1045	    बड़े
83  j   1043	    प्रति
84  n  	1034	    व्यक्ति
85  p	  1034	    उनका
86	r   1029	    लिये
87	s   1025    	इसलिए
88  m	  1024	    तीन
89  p	  1024	    इसका
90	a   1013	    ऐसी
91	j   982     	विशेष
92  j	  981	      बड़ी
93  c  	978     	अथवा
94	v   962	      भाग
95	s   953	      क्योंकि
96  n  	937	      सिंह
97	j   927     	ठीक
98  n  	922	      स्थिति
99  c  	915	      परन्तु
100	n   914	      स्थान
